iter	MultiClass
0	1.080719353
1	1.066867457
2	1.044827112
3	1.023507416
4	1.003133115
5	0.9750367539
6	0.9550897027
7	0.9352992131
8	0.9111768344
9	0.8936674171
10	0.8590014409
11	0.8470954056
12	0.8324143131
13	0.8155302085
14	0.7971578328
15	0.7819564324
16	0.7659641564
17	0.7563706709
18	0.7419522962
19	0.7208519314
20	0.7091306736
21	0.6875739887
22	0.6662016968
23	0.6565829223
24	0.6446249868
25	0.6286592847
26	0.6212197968
27	0.6068784828
28	0.5908120896
29	0.5832474024
30	0.5716120807
31	0.5603171666
32	0.5465628103
33	0.5360385234
34	0.5224879055
35	0.5126494756
36	0.5049222675
37	0.4970102604
38	0.4896736167
39	0.4818721426
40	0.4694592489
41	0.4627743652
42	0.4557222206
43	0.4482213484
44	0.4418186195
45	0.4344545495
46	0.4186774485
47	0.4119137086
48	0.4048870555
49	0.3968617438
50	0.3870296133
51	0.3797912869
52	0.3725337046
53	0.36489343
54	0.3585616435
55	0.3528573881
56	0.3462834302
57	0.3414900318
58	0.3358326356
59	0.3303781719
60	0.3254612034
61	0.3183615982
62	0.3138480331
63	0.3098462018
64	0.305657065
65	0.2995936212
66	0.2955371549
67	0.290594502
68	0.2867231169
69	0.2817351735
70	0.2778184822
71	0.2741738169
72	0.2703154317
73	0.2667206827
74	0.2620533262
75	0.2570976627
76	0.2535972303
77	0.2483528887
78	0.2438137209
79	0.2400457155
80	0.2356472868
81	0.2308328267
82	0.22594175
83	0.2214825182
84	0.2181868397
85	0.2151631814
86	0.2118451869
87	0.2074554214
88	0.2034862796
89	0.2014161572
90	0.1985898815
91	0.1952684908
92	0.1901584549
93	0.1879544084
94	0.1856012479
95	0.1830928876
96	0.1798316639
97	0.175258258
98	0.1728946721
99	0.1707165374
100	0.1681409539
101	0.1658211597
102	0.1635811476
103	0.1609229169
104	0.1585990844
105	0.1565707546
106	0.1539977468
107	0.1519871847
108	0.1500349455
109	0.1484027352
110	0.146364589
111	0.1438307397
112	0.1411577536
113	0.1394680358
114	0.137427507
115	0.1356292097
116	0.13386068
117	0.1319625039
118	0.1298483186
119	0.1280630793
120	0.1263167563
121	0.1249625969
122	0.123502118
123	0.1219724034
124	0.1197227832
125	0.1176183873
126	0.1160181749
127	0.114799081
128	0.1135893839
129	0.1121833021
130	0.1108346171
131	0.1099201351
132	0.1086627733
133	0.1073719228
134	0.1063228575
135	0.1051347849
136	0.104151227
137	0.1029848089
138	0.1017441216
139	0.1002541439
140	0.09890392145
141	0.09785148897
142	0.09702943346
143	0.09608978494
144	0.09532055209
145	0.09417792998
146	0.0934050514
147	0.09242819046
148	0.09157835873
149	0.0907615705
150	0.09003167155
151	0.0893140211
152	0.08852610286
153	0.08768466896
154	0.08717689033
155	0.08630442821
156	0.08536130964
157	0.08473904553
158	0.08393006849
159	0.08293242879
160	0.08232298869
161	0.08185418884
162	0.08106594119
163	0.08016146862
164	0.07963128161
165	0.07888879397
166	0.07817082963
167	0.07733095867
168	0.07678170071
169	0.07595355653
170	0.0751324561
171	0.07446133701
172	0.07372003635
173	0.07313863592
174	0.07251398863
175	0.07190723876
176	0.07135718897
177	0.07080515407
178	0.07034461662
179	0.06997605604
180	0.06942104035
181	0.06873791803
182	0.06828088655
183	0.06784658184
184	0.06748049243
185	0.067079389
186	0.06653849955
187	0.06606260099
188	0.06551388751
189	0.06499210998
190	0.06436624483
191	0.06401746702
192	0.06364411035
193	0.06316482085
194	0.06280614306
195	0.06216467693
196	0.06178326159
197	0.06138509091
198	0.06095129728
199	0.06059240529
200	0.06014491234
201	0.05990004307
202	0.05931248949
203	0.05879903121
204	0.05846654835
205	0.05815218349
206	0.05781936607
207	0.05741269043
208	0.05709499708
209	0.0567381503
210	0.05640645927
211	0.05594095146
212	0.05563256375
213	0.0552710326
214	0.05485853387
215	0.05464694976
216	0.05431464023
217	0.05395819233
218	0.05346071354
219	0.05298827965
220	0.05266141316
221	0.05224042089
222	0.05186708031
223	0.05138090039
224	0.05104574787
225	0.05083713784
226	0.05063122081
227	0.0504197213
228	0.05001353838
229	0.04975880244
230	0.04953205001
231	0.04935457356
232	0.04905943438
233	0.04865976551
234	0.04849990399
235	0.04821202223
236	0.04772220875
237	0.04734475823
238	0.04719676064
239	0.04696673106
240	0.04663862778
241	0.04636995263
242	0.0461106112
243	0.0458580226
244	0.04560682359
245	0.04535516536
246	0.0451202979
247	0.04494077217
248	0.04473313608
249	0.04449054403
250	0.04431023056
251	0.04412183839
252	0.04387523973
253	0.04359765212
254	0.04336339176
255	0.04316090249
256	0.04299138213
257	0.04280605604
258	0.04264264002
259	0.04239715263
260	0.04222965655
261	0.04200185258
262	0.04186507694
263	0.04171845219
264	0.04149636142
265	0.04130353855
266	0.04118914836
267	0.04103107249
268	0.04080628004
269	0.04046325165
270	0.04026969111
271	0.04012465424
272	0.0399712432
273	0.03977797692
274	0.03954629018
275	0.03939540136
276	0.03914514592
277	0.03902201972
278	0.03891039661
279	0.0387577601
280	0.03862145237
281	0.03844520779
282	0.0382243875
283	0.03806561806
284	0.0379020967
285	0.03764510422
286	0.03746227149
287	0.03728508403
288	0.03712392661
289	0.03690924462
290	0.03662535286
291	0.03645286329
292	0.03623085965
293	0.03607707481
294	0.03590970217
295	0.03575804441
296	0.03564522686
297	0.03552384902
298	0.03541305026
299	0.03522039269
300	0.03510379058
301	0.0349434697
302	0.03474303004
303	0.03463768628
304	0.03446022742
305	0.03429455464
306	0.03416582648
307	0.03400739328
308	0.0338012598
309	0.033673462
310	0.03353524028
311	0.03335987445
312	0.033261918
313	0.03314180496
314	0.03300868803
315	0.0329138842
316	0.03282010927
317	0.03269116956
318	0.03261591455
319	0.03245470771
320	0.03231996965
321	0.03216338554
322	0.03201507008
323	0.03188540207
324	0.03173365093
325	0.03164991472
326	0.03153780734
327	0.03141542033
328	0.03129229182
329	0.03117843109
330	0.03104887772
331	0.03092140777
332	0.03082559192
333	0.03071477993
334	0.03063329828
335	0.0305299253
336	0.03039592006
337	0.03025965389
338	0.03014830827
339	0.03002578838
340	0.02992297059
341	0.02978621581
342	0.02964678082
343	0.02950847109
344	0.02943007583
345	0.02935729379
346	0.02923377908
347	0.02915343785
348	0.0290609063
349	0.0289726106
350	0.02887662039
351	0.02874700205
352	0.02864266146
353	0.02855904286
354	0.02849973702
355	0.02840338209
356	0.02830441084
357	0.0282335753
358	0.02815918981
359	0.02804873536
360	0.02796161805
361	0.02788351516
362	0.02779363921
363	0.02768162769
364	0.02759913391
365	0.02754317441
366	0.02747852796
367	0.02741347141
368	0.02733640139
369	0.02721879249
370	0.02714571628
371	0.0270874449
372	0.02698537612
373	0.02691017709
374	0.02681300972
375	0.02674035477
376	0.02664922146
377	0.02656805525
378	0.02648002351
379	0.02634843322
380	0.02629780337
381	0.02622329741
382	0.02609896595
383	0.02603013277
384	0.02591456103
385	0.02582836354
386	0.02571791536
387	0.02564480101
388	0.0255794813
389	0.02549331408
390	0.02542316781
391	0.02533507519
392	0.0252678817
393	0.02520655517
394	0.02512779329
395	0.02503840771
396	0.02497417937
397	0.02492263631
398	0.02486095618
399	0.02479031598
400	0.02470023768
401	0.02461881353
402	0.02454112761
403	0.02449848109
404	0.02443145715
405	0.02435965305
406	0.02427701712
407	0.02421317424
408	0.02413266084
409	0.0240794192
410	0.02397453822
411	0.02391478271
412	0.0238446193
413	0.02377421032
414	0.02370729631
415	0.02363975427
416	0.02356814198
417	0.02348816156
418	0.02337897412
419	0.02331858319
420	0.02321549952
421	0.02314135682
422	0.02310361573
423	0.02304417914
424	0.02296908211
425	0.0228536175
426	0.02279865646
427	0.02275574209
428	0.02270851415
429	0.02263666925
430	0.02259008169
431	0.02255037099
432	0.02248060883
433	0.02242239942
434	0.02236432438
435	0.02232247616
436	0.02225752407
437	0.0221981057
438	0.0221606674
439	0.02210932186
440	0.02205212983
441	0.02201434768
442	0.02192481563
443	0.02188706221
444	0.02184584339
445	0.0217801526
446	0.02172444153
447	0.02167176708
448	0.02160513587
449	0.02156132596
450	0.02150630438
451	0.02145024274
452	0.02139412639
453	0.02133433034
454	0.02127819605
455	0.02120288274
456	0.02115148722
457	0.02110392213
458	0.0210719066
459	0.02099957319
460	0.02094204577
461	0.02088350031
462	0.02083132858
463	0.02077459975
464	0.02072883347
465	0.02068317054
466	0.02062004277
467	0.02057149267
468	0.02050775709
469	0.02047334576
470	0.02042412626
471	0.02036721727
472	0.02027418185
473	0.02022582068
474	0.02019187692
475	0.0201612965
476	0.02012016479
477	0.02005706063
478	0.01999987059
479	0.01996370296
480	0.01993153244
481	0.01985098968
482	0.01980057805
483	0.01974443102
484	0.01965696553
485	0.01962094374
486	0.01955069359
487	0.01951091845
488	0.01945945965
489	0.01941218549
490	0.01937021798
491	0.01932047032
492	0.01927619208
493	0.01922409162
494	0.01917377061
495	0.01914243981
496	0.01909791148
497	0.01905168384
498	0.01899570852
499	0.01895846089
500	0.0189074203
501	0.01885207956
502	0.0188036422
503	0.01877511564
504	0.01873888738
505	0.01870094564
506	0.01866428787
507	0.01862247048
508	0.01854060231
509	0.01849586704
510	0.01844636693
511	0.01838835551
512	0.01834521211
513	0.01830474476
514	0.01825739846
515	0.01820626224
516	0.01817936353
517	0.01812287668
518	0.01808287851
519	0.01804613741
520	0.01800947046
521	0.01798492073
522	0.01796444737
523	0.01792135375
524	0.01789077286
525	0.01785903254
526	0.01781367767
527	0.01779186768
528	0.01775816287
529	0.01772544872
530	0.01769521765
531	0.01766097491
532	0.01762903278
533	0.01758988242
534	0.01755091599
535	0.01751996754
536	0.01747404784
537	0.01743432099
538	0.01739677424
539	0.0173589609
540	0.0173206422
541	0.01728882301
542	0.01725152537
543	0.01722390564
544	0.01719769117
545	0.01717146962
546	0.01714079875
547	0.01711064098
548	0.01707197065
549	0.01703546235
550	0.01700580432
551	0.01697675428
552	0.01695151458
553	0.01692024068
554	0.01689084066
555	0.01686845365
556	0.01682844768
557	0.0167927352
558	0.01672571237
559	0.01669601888
560	0.01666080811
561	0.01663482841
562	0.01659631771
563	0.0165652946
564	0.01654316658
565	0.0165115802
566	0.01647308289
567	0.01643864005
568	0.01641560903
569	0.01639282869
570	0.01636341047
571	0.01634542435
572	0.01632038743
573	0.01629289271
574	0.01626353285
575	0.01623311109
576	0.0162114824
577	0.01618837314
578	0.01615366575
579	0.01613068548
580	0.01608840173
581	0.01605342078
582	0.016011182
583	0.01597062056
584	0.01593776084
585	0.01590697886
586	0.0158673531
587	0.01584075778
588	0.01582155221
589	0.01579420175
590	0.01576358778
591	0.0157334129
592	0.01570366101
593	0.01567084627
594	0.01564431578
595	0.01562146861
596	0.01559463813
597	0.01556532269
598	0.01554057743
599	0.01551435974
600	0.015497032
601	0.01546398019
602	0.01544160825
603	0.01540010009
604	0.01536437629
605	0.01533364402
606	0.01529750689
607	0.01528046118
608	0.01526101194
609	0.01523922808
610	0.01521200342
611	0.01519164648
612	0.0151687072
613	0.01514120199
614	0.01511560638
615	0.01509271922
616	0.01506394168
617	0.01503971566
618	0.01500687155
619	0.01498241981
620	0.01494276745
621	0.01490524858
622	0.01488682722
623	0.01486537692
624	0.01483222137
625	0.01480893922
626	0.01479277503
627	0.01476806997
628	0.01474518539
629	0.01472849122
630	0.01470023109
631	0.01468484245
632	0.01466930305
633	0.01464373401
634	0.01461289385
635	0.01459293452
636	0.01456453026
637	0.014544748
638	0.01452610169
639	0.01449567413
640	0.01447500749
641	0.01443459654
642	0.01441102316
643	0.01437336748
644	0.01434126095
645	0.01432536521
646	0.01430382463
647	0.01428441785
648	0.01427032673
649	0.01423573224
650	0.014219709
651	0.01419962079
652	0.01416846447
653	0.01413717133
654	0.01412280984
655	0.01409341004
656	0.01407158893
657	0.01403681472
658	0.01401468509
659	0.01399095378
660	0.01395800956
661	0.01393117211
662	0.01390446946
663	0.01388210731
664	0.01385653873
665	0.01382689542
666	0.01380116633
667	0.01376519357
668	0.0137489018
669	0.01372440975
670	0.01370032818
671	0.01368059714
672	0.0136549662
673	0.01363435299
674	0.013617103
675	0.0135969968
676	0.01357423514
677	0.01355471419
678	0.01352918475
679	0.01350947587
680	0.01349197994
681	0.01347264259
682	0.01345224983
683	0.01343576819
684	0.01341194458
685	0.01337827691
686	0.01335135841
687	0.01332925737
688	0.0133159195
689	0.01329566445
690	0.01327114551
691	0.01324716479
692	0.01322276127
693	0.01320833352
694	0.01317986367
695	0.01315245832
696	0.01313961788
697	0.0131205441
698	0.01309763955
699	0.01307052937
700	0.01305271532
701	0.01303142762
702	0.01301621608
703	0.01299801933
704	0.01297907133
705	0.01296316528
706	0.01293997812
707	0.01292551713
708	0.01290922668
709	0.01288454764
710	0.01287004217
711	0.01282914783
712	0.01279487989
713	0.01277828485
714	0.01275827427
715	0.01273887502
716	0.01272164627
717	0.01270345743
718	0.01267314186
719	0.01265400956
720	0.01263640949
721	0.01261756719
722	0.01260127121
723	0.01258270179
724	0.01256952139
725	0.01255019667
726	0.01253403423
727	0.01251330682
728	0.01248387459
729	0.01245968656
730	0.01243983559
731	0.01242483574
732	0.0124113969
733	0.01238737884
734	0.01236984342
735	0.01235533821
736	0.01233550704
737	0.01232523752
738	0.01231093057
739	0.01228783774
740	0.01226644163
741	0.01225152702
742	0.01223524294
743	0.01221069418
744	0.01219121173
745	0.01218068437
746	0.01215595851
747	0.01213225895
748	0.01211424277
749	0.01209855197
